# rp_min rp_max <rp>  <npair>   <W>   Err_<W>   Sigma    Sigma_err
0.030    0.045    0.039      35 494.715 145.207 184.148  54.050
0.045    0.068    0.056      88 352.578  78.681 127.299  28.408
0.067    0.101    0.086     200 267.937  40.049  94.335  14.100
0.101    0.152    0.128     434 161.286  34.913  54.147  11.721
0.152    0.228    0.191     880 102.672  19.758  34.232   6.587
0.228    0.342    0.289    1936  86.602  11.492  28.874   3.832
0.342    0.513    0.432    3964  33.947  10.104  11.318   3.369
0.513    0.769    0.648    8911  35.419   6.111  11.809   2.037
0.769    1.153    0.974   19981  16.540   4.591   5.515   1.531
1.153    1.730    1.461   45030  14.061   2.204   4.688   0.735
1.730    2.595    2.192  101153  11.007   1.939   3.670   0.646
2.595    3.892    3.287  228261   8.167   1.324   2.723   0.441
3.892    5.839    4.929  512263   5.004   0.773   1.668   0.258
5.839    8.758    7.395 1151523   5.227   1.031   1.743   0.344
8.758   13.137   11.092 2591671   3.042   0.631   1.014   0.210
13.137  18.000   15.694 4086471   2.511   0.575   0.837   0.192
